place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p14,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p15,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p15,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p15,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p15,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p15,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p16,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p17,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p18,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p18,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p18,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p18,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p18,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p19,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p19,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p19,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p19,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p19,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p20,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p20,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p20,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p20,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p20,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p21,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p21,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p21,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p21,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p21,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p22,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p22,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p22,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p22,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p22,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p23,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p23,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p23,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p23,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p23,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p24,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p24,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p24,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p24,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p24,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p25,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p25,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p25,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p25,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p25,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p26,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p26,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p26,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p26,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p26,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p27,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
